,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y
91,Abani Mukherjee Rajkumar Lahiri,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,Joi Baba Felunath: The Elephant God,tt0077775,1
92,Abani Mukherjee Rajkumar Lahiri,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,tt0063023,1
93,Abani Mukherjee Ramen Bhaduri,Abani Mukherjee,nm0611505,Ramen Bhaduri,nm4878301,The Adventures of Goopy and Bagha,tt0063023,1
94,Abani Mukherjee Ratan Banerjee,Abani Mukherjee,nm0611505,Ratan Banerjee,nm0051844,The Adventures of Goopy and Bagha,tt0063023,1
95,Abani Mukherjee Rathin Ghosh,Abani Mukherjee,nm0611505,Rathin Ghosh,nm4531527,Abhijaan,tt0055724,1
96,Abani Mukherjee Reba Devi,Abani Mukherjee,nm0611505,Reba Devi,nm0222480,Abhijaan,tt0055724,1
97,Abani Mukherjee Ruma Guha Thakurta,Abani Mukherjee,nm0611505,Ruma Guha Thakurta,nm0346614,Abhijaan,tt0055724,1
98,Abani Mukherjee Samar Nag,Abani Mukherjee,nm0611505,Samar Nag,nm4554192,Abhijaan,tt0055724,1
99,Abani Mukherjee Samiran Roy,Abani Mukherjee,nm0611505,Samiran Roy,nm4814535,Joi Baba Felunath: The Elephant God,tt0077775,1
100,Abani Mukherjee Santi Chatterjee,Abani Mukherjee,nm0611505,Santi Chatterjee,nm0154155,Abhijaan,tt0055724,1
101,Abani Mukherjee Santi Chatterjee,Abani Mukherjee,nm0611505,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,tt0063023,1
102,Abani Mukherjee Santosh Dutta,Abani Mukherjee,nm0611505,Santosh Dutta,nm0244904,Joi Baba Felunath: The Elephant God,tt0077775,1
103,Abani Mukherjee Santosh Dutta,Abani Mukherjee,nm0611505,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,tt0063023,1
104,Abani Mukherjee Santosh Singha,Abani Mukherjee,nm0611505,Santosh Singha,nm0802373,Joi Baba Felunath: The Elephant God,tt0077775,1
105,Abani Mukherjee Shailen Ganguli,Abani Mukherjee,nm0611505,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,tt0063023,1
106,Abani Mukherjee Shailen Ghosh,Abani Mukherjee,nm0611505,Shailen Ghosh,nm0315921,Abhijaan,tt0055724,1
107,Abani Mukherjee Shankar Lahiri,Abani Mukherjee,nm0611505,Shankar Lahiri,nm5570281,Abhijaan,tt0055724,1
108,Abani Mukherjee Shekhar Chatterjee,Abani Mukherjee,nm0611505,Shekhar Chatterjee,nm0154161,Abhijaan,tt0055724,1
109,Abani Mukherjee Siddhartha Chatterjee,Abani Mukherjee,nm0611505,Siddhartha Chatterjee,nm0154162,Joi Baba Felunath: The Elephant God,tt0077775,1
110,Abani Mukherjee Soumitra Chatterjee,Abani Mukherjee,nm0611505,Soumitra Chatterjee,nm0154164,Joi Baba Felunath: The Elephant God,tt0077775,1
111,Abani Mukherjee Soumitra Chatterjee,Abani Mukherjee,nm0611505,Soumitra Chatterjee,nm0154164,Abhijaan,tt0055724,1
112,Abani Mukherjee Subhadra Devi,Abani Mukherjee,nm0611505,Subhadra Devi,nm4814563,Joi Baba Felunath: The Elephant God,tt0077775,1
113,Abani Mukherjee Tapan Chatterjee,Abani Mukherjee,nm0611505,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,tt0063023,1
114,Abani Mukherjee Tarun Mitra,Abani Mukherjee,nm0611505,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,tt0063023,1
115,Abani Mukherjee Utpal Dutt,Abani Mukherjee,nm0611505,Utpal Dutt,nm0244884,Joi Baba Felunath: The Elephant God,tt0077775,1
116,Abani Mukherjee Waheeda Rehman,Abani Mukherjee,nm0611505,Waheeda Rehman,nm0716851,Abhijaan,tt0055724,1
117,Abdul Majid Abdul Majid,Abdul Majid,nm5580441,Abdul Majid,nm5580441,The Adversary,tt0066237,1
118,Abdul Majid Ajit Gangopadhyay,Abdul Majid,nm5580441,Ajit Gangopadhyay,nm3776744,The Adversary,tt0066237,1
119,Abdul Majid Ajit Ghosh,Abdul Majid,nm5580441,Ajit Ghosh,nm4828558,The Adversary,tt0066237,1
120,Abdul Majid Amar Bardhan,Abdul Majid,nm5580441,Amar Bardhan,nm5581289,The Adversary,tt0066237,1
121,Abdul Majid Anil Ganguly,Abdul Majid,nm5580441,Anil Ganguly,nm5581710,The Adversary,tt0066237,1
122,Abdul Majid Anindita Chatterjee,Abdul Majid,nm5580441,Anindita Chatterjee,nm5581505,The Adversary,tt0066237,1
123,Abdul Majid Anja Savarwal,Abdul Majid,nm5580441,Anja Savarwal,nm5581377,The Adversary,tt0066237,1
124,Abdul Majid Arabinda Banerjee,Abdul Majid,nm5580441,Arabinda Banerjee,nm5582332,The Adversary,tt0066237,1
125,Abdul Majid Arun Dey,Abdul Majid,nm5580441,Arun Dey,nm5317227,The Adversary,tt0066237,1
126,Abdul Majid Arya Mukherjee,Abdul Majid,nm5580441,Arya Mukherjee,nm5580578,The Adversary,tt0066237,1
127,Abdul Majid Asgar Ali,Abdul Majid,nm5580441,Asgar Ali,nm5581814,The Adversary,tt0066237,1
128,Abdul Majid Ashok Mitra,Abdul Majid,nm5580441,Ashok Mitra,nm1371495,The Adversary,tt0066237,1
129,Abdul Majid B.P. Roy,Abdul Majid,nm5580441,B.P. Roy,nm5583237,The Adversary,tt0066237,1
130,Abdul Majid Biplab Chakraborty,Abdul Majid,nm5580441,Biplab Chakraborty,nm4894691,The Adversary,tt0066237,1
131,Abdul Majid Biplab Chatterjee,Abdul Majid,nm5580441,Biplab Chatterjee,nm0154118,The Adversary,tt0066237,1
132,Abdul Majid Bishnupada Das,Abdul Majid,nm5580441,Bishnupada Das,nm5581584,The Adversary,tt0066237,1
133,Abdul Majid Chandi Sen,Abdul Majid,nm5580441,Chandi Sen,nm5580103,The Adversary,tt0066237,1
134,Abdul Majid Chittaranjan Chatterjee,Abdul Majid,nm5580441,Chittaranjan Chatterjee,nm5579731,The Adversary,tt0066237,1
135,Abdul Majid Debraj Ray,Abdul Majid,nm5580441,Debraj Ray,nm0746988,The Adversary,tt0066237,1
136,Abdul Majid Dhara Roy,Abdul Majid,nm5580441,Dhara Roy,nm0746995,The Adversary,tt0066237,1
137,Abdul Majid Dhritiman Chatterjee,Abdul Majid,nm5580441,Dhritiman Chatterjee,nm0154122,The Adversary,tt0066237,1
138,Abdul Majid Dibyendu Chatterjee,Abdul Majid,nm5580441,Dibyendu Chatterjee,nm4814634,The Adversary,tt0066237,1
139,Abdul Majid Gaja Basu,Abdul Majid,nm5580441,Gaja Basu,nm5192755,The Adversary,tt0066237,1
140,Abdul Majid Indira Devi,Abdul Majid,nm5580441,Indira Devi,nm7589831,The Adversary,tt0066237,1
141,Abdul Majid Indra Roy,Abdul Majid,nm5580441,Indra Roy,nm5580588,The Adversary,tt0066237,1
142,Abdul Majid Indrani Roy Chowdhury,Abdul Majid,nm5580441,Indrani Roy Chowdhury,nm5580718,The Adversary,tt0066237,1
143,Abdul Majid Jayasree Kabir,Abdul Majid,nm5580441,Jayasree Kabir,nm0747072,The Adversary,tt0066237,1
144,Abdul Majid K.K. Iyengar,Abdul Majid,nm5580441,K.K. Iyengar,nm5580479,The Adversary,tt0066237,1
145,Abdul Majid Kalyan Chatterjee,Abdul Majid,nm5580441,Kalyan Chatterjee,nm0159537,The Adversary,tt0066237,1
146,Abdul Majid Kalyan Sen,Abdul Majid,nm5580441,Kalyan Sen,nm4474657,The Adversary,tt0066237,1
147,Abdul Majid Kaushik Deb,Abdul Majid,nm5580441,Kaushik Deb,nm5581726,The Adversary,tt0066237,1
148,Abdul Majid Krishna Bose,Abdul Majid,nm5580441,Krishna Bose,nm0097880,The Adversary,tt0066237,1
149,Abdul Majid Mamata Chatterjee,Abdul Majid,nm5580441,Mamata Chatterjee,nm0154137,The Adversary,tt0066237,1
150,Abdul Majid Mihir Chakravarti,Abdul Majid,nm5580441,Mihir Chakravarti,nm0149843,The Adversary,tt0066237,1
151,Abdul Majid Mihir Pal,Abdul Majid,nm5580441,Mihir Pal,nm3605715,The Adversary,tt0066237,1
152,Abdul Majid Miss Shefali,Abdul Majid,nm5580441,Miss Shefali,nm0790750,The Adversary,tt0066237,1
153,Abdul Majid Mulesh Jain,Abdul Majid,nm5580441,Mulesh Jain,nm5582528,The Adversary,tt0066237,1
154,Abdul Majid Nihar Roy,Abdul Majid,nm5580441,Nihar Roy,nm5582225,The Adversary,tt0066237,1
155,Abdul Majid Parameshwar Raut,Abdul Majid,nm5580441,Parameshwar Raut,nm5582819,The Adversary,tt0066237,1
156,Abdul Majid Pisu Majumdar,Abdul Majid,nm5580441,Pisu Majumdar,nm0538298,The Adversary,tt0066237,1
157,Abdul Majid Rajesh,Abdul Majid,nm5580441,Rajesh,nm2860034,The Adversary,tt0066237,1
158,Abdul Majid Ranajit Chatterjee,Abdul Majid,nm5580441,Ranajit Chatterjee,nm5582040,The Adversary,tt0066237,1
159,Abdul Majid Ratanlal Chowdhury,Abdul Majid,nm5580441,Ratanlal Chowdhury,nm5581086,The Adversary,tt0066237,1
160,Abdul Majid Samir Nag,Abdul Majid,nm5580441,Samir Nag,nm5580049,The Adversary,tt0066237,1
161,Abdul Majid Soumitra Bannerjee,Abdul Majid,nm5580441,Soumitra Bannerjee,nm1548032,The Adversary,tt0066237,1
