,film,year,filmID,actor,role,personID,repeat
7,The Holy Man,1965,tt0059417,Renuka Roy,Nani's wife,nm0747159,2
4,Deliverance,1981,tt0083018,Richa Mishra,Dhania,nm0592798,1
23,The Chess Players,1977,tt0076696,Richard Attenborough,General Outram,nm0000277,1
7,Company Limited,1971,tt0067729,Rita Deb Burman,,nm5586699,1
10,Company Limited,1971,tt0067729,Ritun Chatterjee,,nm5586684,1
18,Heerak Rajar Deshe,1980,tt0080856,Robin Kumar Das,,nm5588617,1
34,Heerak Rajar Deshe,1980,tt0080856,Robin Majumdar,Charandas,nm0538307,1
13,Pather Panchali,1955,tt0048473,Roma Ganguli,Roma,nm0304351,1
6,The Music Room,1958,tt0051792,Roshan Kumari,"Krishna Bai, dancer",nm0474935,1
46,Heerak Rajar Deshe,1980,tt0080856,Rudranarayan Saha,,nm5588664,1
3,An Enemy of the People,1989,tt0097409,Ruma Guha Thakurta,Maya Gupta,nm0346614,2
2,Abhijaan,1962,tt0055724,Ruma Guha Thakurta,Neeli,nm0346614,2
5,Pather Panchali,1955,tt0048473,Runki Banerjee,Little Durga,nm0051846,1
15,The Zoo,1967,tt0061474,Rupak Majumdar,,nm1550510,1
2,The Middleman,1975,tt0074710,S. Bagchi,,nm5587322,1
5,The Middleman,1975,tt0074710,Sachin Banerjee,,nm5587249,1
11,The Middleman,1975,tt0074710,Sachin Bhattacharya,,nm5587009,1
5,Distant Thunder,1973,tt0069737,Sachin Chakraborty,,nm4715487,1
16,Heerak Rajar Deshe,1980,tt0080856,Sachin Chatterjee,,nm5588659,1
1,The Chess Players,1977,tt0076696,Saeed Jaffrey,Mir Roshan Ali,nm0006762,1
4,The Music Room,1958,tt0051792,Salamat Ali Khan,Khyal singer,nm0451310,1
5,Deliverance,1981,tt0083018,Salil Dhar Diwan,,nm0228688,1
28,Abhijaan,1962,tt0055724,Samar Nag,,nm4554192,2
9,Days and Nights in the Forest,1970,tt0065417,Samar Nag,,nm4554192,2
9,Heerak Rajar Deshe,1980,tt0080856,Samaresh Banerjee,,nm4462919,2
6,The Middleman,1975,tt0074710,Samaresh Banerjee,,nm4462919,2
16,Branches of the Tree,1990,tt0100587,Samaresh Mukhopadhyay,,nm4890352,1
11,The Chess Players,1977,tt0076696,Samarth Narain,Kallu,nm0621204,1
37,The Middleman,1975,tt0074710,Samir Lahiri,,nm5566545,2
17,The Big City,1963,tt0057277,Samir Lahiri,,nm5566545,2
42,Heerak Rajar Deshe,1980,tt0080856,Samir Mukherjee,,nm4526711,1
34,The Adversary,1970,tt0066237,Samir Nag,,nm5580049,1
49,The Middleman,1975,tt0074710,Samir Roy,,nm5587350,1
18,Joi Baba Felunath: The Elephant God,1979,tt0077775,Samiran Roy,,nm4814535,1
6,Days and Nights in the Forest,1970,tt0065417,Samit Bhanja,Hari,nm0080214,1
19,Heerak Rajar Deshe,1980,tt0080856,Samudra Dasgupta,,nm5588669,1
2,Distant Thunder,1973,tt0069737,Sandhya Roy,Chutki,nm0747178,1
0,The Chess Players,1977,tt0076696,Sanjeev Kumar,Mirza Sajjad Ali,nm0474876,1
1,The Golden Fortress,1974,tt0072190,Santanu Bagchi,Mukul 2,nm0046549,1
16,Abhijaan,1962,tt0055724,Santi Chatterjee,,nm0154155,5
14,The Holy Man,1965,tt0059417,Santi Chatterjee,,nm0154155,5
14,The Adventures of Goopy and Bagha,1969,tt0063023,Santi Chatterjee,Commander of Halla army,nm0154155,5
8,The Golden Fortress,1974,tt0072190,Santi Chatterjee,,nm0154155,5
3,The Coward,1965,tt0059348,Santi Chatterjee,,nm0154155,5
13,Aparajito,1956,tt0048956,Santi Gupta,Ginnima,nm0348496,1
32,The Middleman,1975,tt0074710,Santosh Dutta,Hiralal,nm0244904,8
20,Paras-Pathar,1958,tt0052046,Santosh Dutta,Atanu,nm0244904,8
19,Teen Kanya,1961,tt0055508,Santosh Dutta,Kishori,nm0244904,8
19,The Adventures of Goopy and Bagha,1969,tt0063023,Santosh Dutta,King of Shundi / King of Halla,nm0244904,8
11,The Golden Fortress,1974,tt0072190,Santosh Dutta,Lalmohan Ganguly,nm0244904,8
10,Joi Baba Felunath: The Elephant God,1979,tt0077775,Santosh Dutta,Lalmohan Ganguly,nm0244904,8
6,The Holy Man,1965,tt0059417,Santosh Dutta,Professor Nani,nm0244904,8
4,Heerak Rajar Deshe,1980,tt0080856,Santosh Dutta,King of Shundi / Scientist,nm0244904,8
17,Distant Thunder,1973,tt0069737,Santosh Kumar Mitra,,nm5562456,1
19,Joi Baba Felunath: The Elephant God,1979,tt0077775,Santosh Singha,Shashibabu,nm0802373,1
19,Aparajito,1956,tt0048956,Saraswati Pandey,,nm5581649,1
1,The Music Room,1958,tt0051792,Sardar Akhtar,Singer,nm0015293,1
26,The Golden Fortress,1974,tt0072190,Sardar Jarnel Singh,,nm4814695,1
26,The Chess Players,1977,tt0076696,Saswati Sen,Dancer,nm1842135,1
4,The Holy Man,1965,tt0059417,Satindra Bhattacharya,Satya,nm0080362,1
35,The Middleman,1975,tt0074710,Satish Ghosh,,nm5587224,1
4,The Coward,1965,tt0059348,Satish Haldar,,nm5570307,1
16,Nayak: The Hero,1966,tt0060742,Satya Banerjee (I),Swamiji,nm0051851,2
8,The Holy Man,1965,tt0059417,Satya Banerjee (I),Nitai,nm0051851,2
8,The Middleman,1975,tt0074710,Satya Banerjee,Somnath's Father,nm0051810,3
8,An Enemy of the People,1989,tt0097409,Satya Banerjee,Landlord,nm0051810,3
3,Joi Baba Felunath: The Elephant God,1979,tt0077775,Satya Banerjee,Niranjan,nm0051810,3
13,The World of Apu,1959,tt0052572,Sefalika Devi,Shashinarayan's wife,nm0222490,2
4,The Big City,1963,tt0057277,Sefalika Devi,Sarojini,nm0222490,2
2,The Chess Players,1977,tt0076696,Shabana Azmi,"Khurshid, Mirza's wife",nm0000818,1
20,The Chess Players,1977,tt0076696,Shaik Farid,,nm1839749,1
25,Heerak Rajar Deshe,1980,tt0080856,Shailen Ganguli,,nm0304352,5
20,The Adventures of Goopy and Bagha,1969,tt0063023,Shailen Ganguli,Visitor to Halla,nm0304352,5
16,The Holy Man,1965,tt0059417,Shailen Ganguli,,nm0304352,5
13,The Big City,1963,tt0057277,Shailen Ganguli,,nm0304352,5
10,The Zoo,1967,tt0061474,Shailen Ganguli,,nm0304352,5
23,Abhijaan,1962,tt0055724,Shailen Ghosh,,nm0315921,1
21,The Zoo,1967,tt0061474,Shailen Mukherjee,Ajit,nm0611561,4
20,The Big City,1963,tt0057277,Shailen Mukherjee,,nm0611561,4
18,The Golden Fortress,1974,tt0072190,Shailen Mukherjee,Dr. Hemanga Hajra,nm0611561,4
2,Charulata,1964,tt0057935,Shailen Mukherjee,Bhupati Dutta,nm0611561,4
21,The Big City,1963,tt0057277,Shailesh Mukherjee,,nm4512527,1
31,Heerak Rajar Deshe,1980,tt0080856,Shankar Ghosh,,nm2484258,1
24,Abhijaan,1962,tt0055724,Shankar Lahiri,,nm5570281,1
30,An Enemy of the People,1989,tt0097409,Shankar Patra,,nm5591265,1
10,The Goddess,1960,tt0053765,Shanta Devi,Sarala,nm0222486,1
7,The World of Apu,1959,tt0052572,Shanti Bhattacherjee,Office Associate,nm0080370,1
12,An Enemy of the People,1989,tt0097409,Sharmi Chakraborty,,nm5591478,1
1,The World of Apu,1959,tt0052572,Sharmila Tagore,Aparna,nm0846616,5
1,Nayak: The Hero,1966,tt0060742,Sharmila Tagore,Aditi,nm0846616,5
0,The Goddess,1960,tt0053765,Sharmila Tagore,Doyamoyee,nm0846616,5
0,Days and Nights in the Forest,1970,tt0065417,Sharmila Tagore,Aparna,nm0846616,5
0,Company Limited,1971,tt0067729,Sharmila Tagore,Tutul,nm0846616,5
10,Ghare-Baire,1984,tt0087328,Shashanka Bhattacharya,,nm1406014,1
28,Company Limited,1971,tt0067729,Shefali,,nm8236207,1
14,Deliverance,1981,tt0083018,Shefali Shukla,,nm2754854,1
6,Abhijaan,1962,tt0055724,Shekhar Chatterjee,Rameshwar,nm0154161,2
3,The Zoo,1967,tt0061474,Shekhar Chatterjee,,nm0154161,2
15,Ghare-Baire,1984,tt0087328,Shekhar Das,,nm5591479,1
21,Distant Thunder,1973,tt0069737,Sheli Pal,Mokshada,nm0657182,1
16,Aparajito,1956,tt0048956,Shibnarayan Nag,,nm5581805,1
22,The Big City,1963,tt0057277,Shila Pal,,nm1800973,1
19,The Golden Fortress,1974,tt0072190,Shiuli Mukherjee,Mukul's mother,nm0611564,1
35,Heerak Rajar Deshe,1980,tt0080856,Shoumik Nandy Majumdar,,nm5588773,1
15,The Holy Man,1965,tt0059417,Shrikanto Chattopadhyay,,nm4820235,1
7,Distant Thunder,1973,tt0069737,Shrikumar Dutta,,nm5585108,1
20,Distant Thunder,1973,tt0069737,Shubhra Nath,,nm1917285,1
6,Deliverance,1981,tt0083018,Shyam Sundar Sharma,,nm0788920,1
14,The Big City,1963,tt0057277,Shyamal Ghoshal,,nm0315929,3
12,The Zoo,1967,tt0061474,Shyamal Ghoshal,Dr. Bhujangadhar Das,nm0315929,3
3,Charulata,1964,tt0057935,Shyamal Ghoshal,Umapada,nm0315929,3
9,The Golden Fortress,1974,tt0072190,Siddhartha Chatterjee,Tapesh,nm0154162,2
7,Joi Baba Felunath: The Elephant God,1979,tt0077775,Siddhartha Chatterjee,Tapesh,nm0154162,2
2,Days and Nights in the Forest,1970,tt0065417,Simi Garewal,Duli,nm0307231,1
17,Teen Kanya,1961,tt0055508,Sita Mukherjee,Jogmaya,nm0611566,1
11,Aparajito,1956,tt0048956,Smaran Ghosal,Apu - adolescent,nm0315871,1
1,Deliverance,1981,tt0083018,Smita Patil,Jhuria,nm0665599,1
25,The Big City,1963,tt0057277,Smita Sinha,,nm1400302,1
7,Branches of the Tree,1990,tt0100587,Soham Chakraborty,,nm2597881,1
5,The Holy Man,1965,tt0059417,Somen Bose,Nibaran,nm0097900,2
3,Nayak: The Hero,1966,tt0060742,Somen Bose,Sankar,nm0097900,2
23,An Enemy of the People,1989,tt0097409,Somenath Majumdar,,nm5010491,2
20,Ghare-Baire,1984,tt0087328,Somenath Majumdar,,nm5010491,2
43,Heerak Rajar Deshe,1980,tt0080856,Somenath Mukherjee,,nm4627782,1
57,The Middleman,1975,tt0074710,Sonia Wales,,nm5587447,1
3,The Adversary,1970,tt0066237,Soumitra Bannerjee,,nm1548032,1
15,Teen Kanya,1961,tt0055508,Soumitra Chatterjee,Amulya,nm0154164,14
3,Days and Nights in the Forest,1970,tt0065417,Soumitra Chatterjee,Ashim,nm0154164,14
2,Branches of the Tree,1990,tt0100587,Soumitra Chatterjee,Prasahnto,nm0154164,14
1,The Goddess,1960,tt0053765,Soumitra Chatterjee,Umaprasad,nm0154164,14
1,Abhijaan,1962,tt0055724,Soumitra Chatterjee,Narsingh,nm0154164,14
0,The World of Apu,1959,tt0052572,Soumitra Chatterjee,Apurba Roy,nm0154164,14
0,Charulata,1964,tt0057935,Soumitra Chatterjee,Amal,nm0154164,14
0,The Coward,1965,tt0059348,Soumitra Chatterjee,Amitabha Roy,nm0154164,14
0,Distant Thunder,1973,tt0069737,Soumitra Chatterjee,Gangacharan Chakravarti,nm0154164,14
0,The Golden Fortress,1974,tt0072190,Soumitra Chatterjee,Prodosh Mitra,nm0154164,14
0,Joi Baba Felunath: The Elephant God,1979,tt0077775,Soumitra Chatterjee,Prodosh Mitra,nm0154164,14
0,Heerak Rajar Deshe,1980,tt0080856,Soumitra Chatterjee,Pondit Moshai,nm0154164,14
0,Ghare-Baire,1984,tt0087328,Soumitra Chatterjee,Sandip Mukherjee,nm0154164,14
0,An Enemy of the People,1989,tt0097409,Soumitra Chatterjee,Dr. Ashok Gupta,nm0154164,14
9,The Stranger,1991,tt0101279,Sourav Banerjee,,nm10015897,1
22,An Enemy of the People,1989,tt0097409,Sourin Maity,,nm5591446,1
38,The Middleman,1975,tt0074710,Soven Lahiri,Goenka,nm0481574,4
29,The Adversary,1970,tt0066237,Soven Lahiri,Sanyal,nm0481574,4
11,Branches of the Tree,1990,tt0100587,Soven Lahiri,,nm0481574,4
2,Pikoor Diary,1981,tt0082906,Soven Lahiri,Pikoo's grandfather,nm0481574,4
16,Ghare-Baire,1984,tt0087328,Subal Das,,nm4964369,1
24,Heerak Rajar Deshe,1980,tt0080856,Subal Dutta,,nm4866235,2
8,Distant Thunder,1973,tt0069737,Subal Dutta,,nm4866235,2
8,Joi Baba Felunath: The Elephant God,1979,tt0077775,Subhadra Devi,,nm4814563,1
18,An Enemy of the People,1989,tt0097409,Subhashish Dutta,,nm5591429,1
5,An Enemy of the People,1989,tt0097409,Subhendu Chatterjee,Biresh Guha,nm0154166,3
4,The Zoo,1967,tt0061474,Subhendu Chatterjee,Bijoy,nm0154166,3
4,Days and Nights in the Forest,1970,tt0065417,Subhendu Chatterjee,Sanjoy,nm0154166,3
27,An Enemy of the People,1989,tt0097409,Subhransu Mukherjee,,nm5591388,1
21,Nayak: The Hero,1966,tt0060742,Subinoy Das,,nm5564461,1
4,Pather Panchali,1955,tt0048473,Subir Banerjee,Apu Ray,nm0052343,1
28,The Zoo,1967,tt0061474,Subira Roy,"Mukul, Gupta's daughter",nm0747191,1
10,Aparajito,1956,tt0048956,Subodh Ganguli,Headmaster,nm0304354,2
10,Paras-Pathar,1958,tt0052046,Subodh Ganguli,Guest at Cocktail Party,nm0304354,2
6,The Stranger,1991,tt0101279,Subrata Chatterjee,Chhanda Rakshit,nm0154167,2
5,The Zoo,1967,tt0061474,Subrata Chatterjee,Najar Bibi,nm0154167,2
6,The Zoo,1967,tt0061474,Subrata Chatterjee,,nm8989773,1
33,The Middleman,1975,tt0074710,Subrata Dutta,,nm5587387,1
24,The Big City,1963,tt0057277,Subrata Sensharma,,nm0784478,4
17,Charulata,1964,tt0057935,Subrata Sensharma,Motilal,nm0784478,4
12,Nayak: The Hero,1966,tt0060742,Subrata Sensharma,Ajoy,nm0784478,4
9,Kanchenjungha,1962,tt0056134,Subrata Sensharma,Shankar,nm0784478,4
24,Distant Thunder,1973,tt0069737,Sucheta Roy,,nm5585131,1
22,Distant Thunder,1973,tt0069737,Suchita Ray Chaudhury,Khenti,nm0747193,1
56,The Middleman,1975,tt0074710,Sudeshna,Kauna / Juthika,nm0837185,1
7,The Middleman,1975,tt0074710,Sudip Banerjee,,nm5586978,1
22,Aparajito,1956,tt0048956,Sudipta Roy,Nirupama,nm0747195,1
13,The Golden Fortress,1974,tt0072190,Sujit Ganguly,,nm4814705,1
15,Charulata,1964,tt0057935,Suku Mukherjee,Nishikanta,nm0611569,1
6,Nayak: The Hero,1966,tt0060742,Sumita Sanyal,Promila Chatterjee,nm0764407,1
18,The Middleman,1975,tt0074710,Sumitra Chakraborty,,nm5353457,1
10,Branches of the Tree,1990,tt0100587,Sunil Gupta Kabiraj,,nm3610599,1
29,An Enemy of the People,1989,tt0097409,Sunil Nath,,nm5591406,1
47,Heerak Rajar Deshe,1980,tt0080856,Sunil Sarkar,,nm0765281,4
25,Distant Thunder,1973,tt0069737,Sunil Sarkar,,nm0765281,4
23,The Golden Fortress,1974,tt0072190,Sunil Sarkar,Mukul's father,nm0765281,4
23,Ghare-Baire,1984,tt0087328,Sunil Sarkar,,nm0765281,4
9,Charulata,1964,tt0057935,Sunilkanta Dasgupta,,nm5568640,1
18,Pather Panchali,1955,tt0048473,Suren Roy,,nm5583219,1
16,The Zoo,1967,tt0061474,Sushil Majumdar,Nishanath Sen,nm0538305,1
11,Nayak: The Hero,1966,tt0060742,Susmita Mukherjee,Molly,nm1640133,1
3,The World of Apu,1959,tt0052572,Swapan Mukherjee,Pulu,nm0611575,1
2,Ghare-Baire,1984,tt0087328,Swatilekha Sengupta,Bimala Choudhury,nm0154169,1
10,The Big City,1963,tt0057277,Tapan Chatterjee,,nm0154170,3
3,Heerak Rajar Deshe,1980,tt0080856,Tapan Chatterjee,Goopy Gayen,nm0154170,3
0,The Adventures of Goopy and Bagha,1969,tt0063023,Tapan Chatterjee,Goopy,nm0154170,3
9,Distant Thunder,1973,tt0069737,Tapan Dutta,,nm5215927,1
43,The Adversary,1970,tt0066237,Tapan Roy,,nm4939793,1
54,The Middleman,1975,tt0074710,Tapas Sengupta,,nm5587265,1
19,The Big City,1963,tt0057277,Tarak Mitra,,nm5566568,1
5,Charulata,1964,tt0057935,Tarapada Basu,,nm5568593,1
15,The Goddess,1960,tt0053765,Tarapada Nandy,,nm0620827,2
8,The Music Room,1958,tt0051792,Tarapada Nandy,,nm0620827,2
6,Company Limited,1971,tt0067729,Tarun Bhattacharya,,nm5586658,1
36,Heerak Rajar Deshe,1980,tt0080856,Tarun Mitra,,nm0593973,3
24,The Adventures of Goopy and Bagha,1969,tt0063023,Tarun Mitra,Court singer at Shundi,nm0593973,3
12,Branches of the Tree,1990,tt0100587,Tarun Mitra,,nm0593973,3
21,An Enemy of the People,1989,tt0097409,Tinu Ghosh,,nm4512599,2
19,Ghare-Baire,1984,tt0087328,Tinu Ghosh,,nm4512599,2
8,The Chess Players,1977,tt0076696,Tom Alter,Capt. Weston,nm0022758,1
8,Pather Panchali,1955,tt0048473,Tulsi Chakraborty,"Prasanna, school teacher",nm0149831,2
0,Paras-Pathar,1958,tt0052046,Tulsi Chakraborty,Paresh Chandra Dutta,nm0149831,2
11,Paras-Pathar,1958,tt0052046,Tulsi Lahiri,Guest at Cocktail Party,nm0481576,2
7,The Music Room,1958,tt0051792,Tulsi Lahiri,Manager of Roy's Estate,nm0481576,2
4,The World of Apu,1959,tt0052572,Tushar Bandyopadhyay,,nm5576481,1
22,The Zoo,1967,tt0061474,Tusharkanti Mukherjee,,nm5562474,1
12,The Golden Fortress,1974,tt0072190,Uday Singh Gailol,,nm4814650,1
27,Aparajito,1956,tt0048956,Udayshankar Tiwari,,nm5582083,1
3,Pather Panchali,1955,tt0048473,Uma Das Gupta,Durga,nm0201871,1
12,The Middleman,1975,tt0074710,Umanath Bhattacharya,,nm0080369,1
31,The Middleman,1975,tt0074710,Utpal Dutt,Bishuda,nm0244884,4
9,Joi Baba Felunath: The Elephant God,1979,tt0077775,Utpal Dutt,Maganlal Meghraj,nm0244884,4
1,Heerak Rajar Deshe,1980,tt0080856,Utpal Dutt,Hirak Raja,nm0244884,4
0,The Stranger,1991,tt0101279,Utpal Dutt,Manomohan Mitra,nm0244884,4
0,Nayak: The Hero,1966,tt0060742,Uttam Kumar,Arindam Mukherjee,nm0474907,2
0,The Zoo,1967,tt0061474,Uttam Kumar,Satyanweshi Byomkesh,nm0474907,2
43,The Middleman,1975,tt0074710,Uttamram Nagar,,nm1840054,3
20,The Golden Fortress,1974,tt0072190,Uttamram Nagar,,nm1840054,3
14,The Chess Players,1977,tt0076696,Uttamram Nagar,,nm1840054,3
4,The Chess Players,1977,tt0076696,Veena,Queen Mother,nm0474940,1
7,The Big City,1963,tt0057277,Vicky Redwood,Edith,nm0715200,1
6,The Chess Players,1977,tt0076696,Victor Banerjee,Prime Minister,nm0051856,3
1,Ghare-Baire,1984,tt0087328,Victor Banerjee,Nikhilesh Choudhury,nm0051856,3
0,Pikoor Diary,1981,tt0082906,Victor Banerjee,The lover,nm0051856,3
10,Kanchenjungha,1962,tt0056134,Vidya Sinha,,nm0802378,1
31,Company Limited,1971,tt0067729,Vishnu Vaswani,,nm5586655,1
5,The Music Room,1958,tt0051792,Waheed Khan,Ustad Ujir Khan,nm0451339,1
0,Abhijaan,1962,tt0055724,Waheeda Rehman,Gulabi,nm0716851,1
7,Deliverance,1981,tt0083018,Wahid Shareef,,nm0788734,1
