,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y,
113,Ajoy Banerjee Tarun Mitra,Ajoy Banerjee,nm0051831,Tarun Mitra,nm0593973,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
114,Ajoy Banerjee Tarun Mitra,Ajoy Banerjee,nm0051831,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
115,Ajoy Banerjee Utpal Dutt,Ajoy Banerjee,nm0051831,Utpal Dutt,nm0244884,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
116,Ajoy Banerjee Uttamram Nagar,Ajoy Banerjee,nm0051831,Uttamram Nagar,nm1840054,The Golden Fortress,The Golden Fortress,1,FALSE
121,Anil Chatterjee Aparna Sen,Anil Chatterjee,nm0154110,Aparna Sen,nm0031967,Teen Kanya,Teen Kanya,1,FALSE
122,Anil Chatterjee Ashok Mitra,Anil Chatterjee,nm0154110,Ashok Mitra,nm1371495,The Big City,The Big City,1,FALSE
123,Anil Chatterjee Chhabi Biswas,Anil Chatterjee,nm0154110,Chhabi Biswas,nm0084435,Kanchenjungha,Kanchenjungha,1,FALSE
124,Anil Chatterjee Chhabi Biswas,Anil Chatterjee,nm0154110,Chhabi Biswas,nm0084435,The Goddess,The Goddess,1,FALSE
125,Anil Chatterjee Gitali Roy,Anil Chatterjee,nm0154110,Gitali Roy,nm0747030,The Big City,The Big City,1,FALSE
126,Anil Chatterjee Govinda Chakravarti,Anil Chatterjee,nm0154110,Govinda Chakravarti,nm0149838,Teen Kanya,Teen Kanya,1,FALSE
127,Anil Chatterjee Haridhan Nag,Anil Chatterjee,nm0154110,Haridhan Nag,nm5570266,Teen Kanya,Teen Kanya,1,FALSE
128,Anil Chatterjee Kali Bannerjee,Anil Chatterjee,nm0154110,Kali Bannerjee,nm0052332,Teen Kanya,Teen Kanya,1,FALSE
129,Anil Chatterjee Karuna Bannerjee,Anil Chatterjee,nm0154110,Karuna Bannerjee,nm0052334,Kanchenjungha,Kanchenjungha,1,FALSE
130,Anil Chatterjee Khagen Pathak,Anil Chatterjee,nm0154110,Khagen Pathak,nm0665546,Teen Kanya,Teen Kanya,1,FALSE
131,Anil Chatterjee Madhabi Mukherjee,Anil Chatterjee,nm0154110,Madhabi Mukherjee,nm0611538,The Big City,The Big City,1,FALSE
132,Anil Chatterjee Nripati Chatterjee,Anil Chatterjee,nm0154110,Nripati Chatterjee,nm0154142,Teen Kanya,Teen Kanya,1,FALSE
133,Anil Chatterjee Pahadi Sanyal,Anil Chatterjee,nm0154110,Pahadi Sanyal,nm0764406,Kanchenjungha,Kanchenjungha,1,FALSE
134,Anil Chatterjee Santosh Dutta,Anil Chatterjee,nm0154110,Santosh Dutta,nm0244904,Teen Kanya,Teen Kanya,1,FALSE
135,Anil Chatterjee Shailen Ganguli,Anil Chatterjee,nm0154110,Shailen Ganguli,nm0304352,The Big City,The Big City,1,FALSE
136,Anil Chatterjee Shailen Mukherjee,Anil Chatterjee,nm0154110,Shailen Mukherjee,nm0611561,The Big City,The Big City,1,FALSE
137,Anil Chatterjee Sharmila Tagore,Anil Chatterjee,nm0154110,Sharmila Tagore,nm0846616,The Goddess,The Goddess,1,FALSE
138,Anil Chatterjee Shyamal Ghoshal,Anil Chatterjee,nm0154110,Shyamal Ghoshal,nm0315929,The Big City,The Big City,1,FALSE
139,Anil Chatterjee Subrata Sensharma,Anil Chatterjee,nm0154110,Subrata Sensharma,nm0784478,The Big City,The Big City,1,FALSE
140,Anil Chatterjee Subrata Sensharma,Anil Chatterjee,nm0154110,Subrata Sensharma,nm0784478,Kanchenjungha,Kanchenjungha,1,FALSE
141,Anil Chatterjee Tapan Chatterjee,Anil Chatterjee,nm0154110,Tapan Chatterjee,nm0154170,The Big City,The Big City,1,FALSE
142,Aparna Sen Ajit Banerjee,Aparna Sen,nm0031967,Ajit Banerjee,nm0051830,The Middleman,The Middleman,1,FALSE
143,Aparna Sen Anil Chatterjee,Aparna Sen,nm0031967,Anil Chatterjee,nm0154110,Teen Kanya,Teen Kanya,1,FALSE
147,Aparna Sen Dibyendu Chatterjee,Aparna Sen,nm0031967,Dibyendu Chatterjee,nm4814634,Days and Nights in the Forest,Days and Nights in the Forest,1,FALSE
148,Aparna Sen Dipankar Dey,Aparna Sen,nm0031967,Dipankar Dey,nm0212541,The Middleman,The Middleman,1,FALSE
149,Aparna Sen Govinda Chakravarti,Aparna Sen,nm0031967,Govinda Chakravarti,nm0149838,Teen Kanya,Teen Kanya,1,FALSE
150,Aparna Sen Haridhan Nag,Aparna Sen,nm0031967,Haridhan Nag,nm5570266,Teen Kanya,Teen Kanya,1,FALSE
151,Aparna Sen Kali Bannerjee,Aparna Sen,nm0031967,Kali Bannerjee,nm0052332,Teen Kanya,Teen Kanya,1,FALSE
152,Aparna Sen Kartik Chatterjee,Aparna Sen,nm0031967,Kartik Chatterjee,nm0154135,The Middleman,The Middleman,1,FALSE
153,Aparna Sen Khagen Pathak,Aparna Sen,nm0031967,Khagen Pathak,nm0665546,Teen Kanya,Teen Kanya,1,FALSE
154,Aparna Sen Khagen Pathak,Aparna Sen,nm0031967,Khagen Pathak,nm0665546,The Middleman,The Middleman,1,FALSE
155,Aparna Sen Mani Srimani,Aparna Sen,nm0031967,Mani Srimani,nm0820248,The Middleman,The Middleman,1,FALSE
156,Aparna Sen Nripati Chatterjee,Aparna Sen,nm0031967,Nripati Chatterjee,nm0154142,Teen Kanya,Teen Kanya,1,FALSE
157,Aparna Sen Padmadevi,Aparna Sen,nm0031967,Padmadevi,nm0222471,The Middleman,The Middleman,1,FALSE
158,Aparna Sen Pahadi Sanyal,Aparna Sen,nm0031967,Pahadi Sanyal,nm0764406,Days and Nights in the Forest,Days and Nights in the Forest,1,FALSE
159,Aparna Sen Rabi Ghosh,Aparna Sen,nm0031967,Rabi Ghosh,nm0315917,Days and Nights in the Forest,Days and Nights in the Forest,1,FALSE
160,Aparna Sen Rabi Ghosh,Aparna Sen,nm0031967,Rabi Ghosh,nm0315917,The Middleman,The Middleman,1,FALSE
161,Aparna Sen Santosh Dutta,Aparna Sen,nm0031967,Santosh Dutta,nm0244904,Teen Kanya,Teen Kanya,1,FALSE
162,Aparna Sen Satya Bannerjee (II),Aparna Sen,nm0031967,Satya Bannerjee (II),nm0051810,The Middleman,The Middleman,1,FALSE
