,source_target,year_x,source,sourceID,target,targetID,movie,year_y,connections_y
512,Govinda Chakravarti Rabi Ghosh,3949,Govinda Chakravarti,nm0149838,Rabi Ghosh,nm0315917,Heerak Rajar Deshe,1980,1
513,Govinda Chakravarti Rabi Ghosh,3949,Govinda Chakravarti,nm0149838,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,1969,1
514,Govinda Chakravarti Rajkumar Lahiri,5922,Govinda Chakravarti,nm0149838,Rajkumar Lahiri,nm1708115,Distant Thunder,1973,1
515,Govinda Chakravarti Rajkumar Lahiri,5922,Govinda Chakravarti,nm0149838,Rajkumar Lahiri,nm1708115,Heerak Rajar Deshe,1980,1
516,Govinda Chakravarti Rajkumar Lahiri,5922,Govinda Chakravarti,nm0149838,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,1969,1
517,Govinda Chakravarti Santi Chatterjee,1969,Govinda Chakravarti,nm0149838,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,1969,1
518,Govinda Chakravarti Santosh Dutta,5910,Govinda Chakravarti,nm0149838,Santosh Dutta,nm0244904,Teen Kanya,1961,1
519,Govinda Chakravarti Santosh Dutta,5910,Govinda Chakravarti,nm0149838,Santosh Dutta,nm0244904,Heerak Rajar Deshe,1980,1
520,Govinda Chakravarti Santosh Dutta,5910,Govinda Chakravarti,nm0149838,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,1969,1
521,Govinda Chakravarti Shailen Ganguli,3949,Govinda Chakravarti,nm0149838,Shailen Ganguli,nm0304352,Heerak Rajar Deshe,1980,1
522,Govinda Chakravarti Shailen Ganguli,3949,Govinda Chakravarti,nm0149838,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,1969,1
523,Govinda Chakravarti Sunil Sarkar,5937,Govinda Chakravarti,nm0149838,Sunil Sarkar,nm0765281,Distant Thunder,1973,1
524,Govinda Chakravarti Sunil Sarkar,5937,Govinda Chakravarti,nm0149838,Sunil Sarkar,nm0765281,Heerak Rajar Deshe,1980,1
525,Govinda Chakravarti Sunil Sarkar,5937,Govinda Chakravarti,nm0149838,Sunil Sarkar,nm0765281,Ghare-Baire,1984,1
526,Govinda Chakravarti Tapan Chatterjee,3949,Govinda Chakravarti,nm0149838,Tapan Chatterjee,nm0154170,Heerak Rajar Deshe,1980,1
527,Govinda Chakravarti Tapan Chatterjee,3949,Govinda Chakravarti,nm0149838,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,1969,1
528,Govinda Chakravarti Tarun Mitra,3949,Govinda Chakravarti,nm0149838,Tarun Mitra,nm0593973,Heerak Rajar Deshe,1980,1
529,Govinda Chakravarti Tarun Mitra,3949,Govinda Chakravarti,nm0149838,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,1969,1
530,Govinda Chakravarti Utpal Dutt,1980,Govinda Chakravarti,nm0149838,Utpal Dutt,nm0244884,Heerak Rajar Deshe,1980,1
531,Govinda Chakravarti Victor Banerjee,1984,Govinda Chakravarti,nm0149838,Victor Banerjee,nm0051856,Ghare-Baire,1984,1
532,Haradhan Bannerjee Abani Mukherjee,1979,Haradhan Bannerjee,nm0052329,Abani Mukherjee,nm0611505,Joi Baba Felunath: The Elephant God,1979,1
533,Haradhan Bannerjee Ajit Banerjee,1990,Haradhan Bannerjee,nm0052329,Ajit Banerjee,nm0051830,Branches of the Tree,1990,1
534,Haradhan Bannerjee Ajoy Banerjee,3945,Haradhan Bannerjee,nm0052329,Ajoy Banerjee,nm0051831,The Golden Fortress,1974,1
535,Haradhan Bannerjee Ajoy Banerjee,3945,Haradhan Bannerjee,nm0052329,Ajoy Banerjee,nm0051831,Company Limited,1971,1
536,Haradhan Bannerjee Anil Chatterjee,1963,Haradhan Bannerjee,nm0052329,Anil Chatterjee,nm0154110,The Big City,1963,1
537,Haradhan Bannerjee Ashok Mitra,1963,Haradhan Bannerjee,nm0052329,Ashok Mitra,nm1371495,The Big City,1963,1
538,Haradhan Bannerjee Bimal Chatterjee,3953,Haradhan Bannerjee,nm0052329,Bimal Chatterjee,nm0154115,The Golden Fortress,1974,1
539,Haradhan Bannerjee Bimal Chatterjee,3953,Haradhan Bannerjee,nm0052329,Bimal Chatterjee,nm0154115,Joi Baba Felunath: The Elephant God,1979,1
540,Haradhan Bannerjee Dibyendu Chatterjee,1974,Haradhan Bannerjee,nm0052329,Dibyendu Chatterjee,nm4814634,The Golden Fortress,1974,1
541,Haradhan Bannerjee Dipankar Dey,3961,Haradhan Bannerjee,nm0052329,Dipankar Dey,nm0212541,Branches of the Tree,1990,1
542,Haradhan Bannerjee Dipankar Dey,3961,Haradhan Bannerjee,nm0052329,Dipankar Dey,nm0212541,Company Limited,1971,1
543,Haradhan Bannerjee Gitali Roy,1963,Haradhan Bannerjee,nm0052329,Gitali Roy,nm0747030,The Big City,1963,1
544,Haradhan Bannerjee Haradhan Bannerjee,7908,Haradhan Bannerjee,nm0052329,Haradhan Bannerjee,nm0052329,Branches of the Tree,1990,1
545,Haradhan Bannerjee Haradhan Bannerjee,7908,Haradhan Bannerjee,nm0052329,Haradhan Bannerjee,nm0052329,The Coward,1965,1
546,Haradhan Bannerjee Haradhan Bannerjee,7908,Haradhan Bannerjee,nm0052329,Haradhan Bannerjee,nm0052329,The Golden Fortress,1974,1
547,Haradhan Bannerjee Haradhan Bannerjee,7908,Haradhan Bannerjee,nm0052329,Haradhan Bannerjee,nm0052329,Joi Baba Felunath: The Elephant God,1979,1
548,Haradhan Bannerjee Harindranath Chattopadhyay,3945,Haradhan Bannerjee,nm0052329,Harindranath Chattopadhyay,nm0154129,The Golden Fortress,1974,1
549,Haradhan Bannerjee Harindranath Chattopadhyay,3945,Haradhan Bannerjee,nm0052329,Harindranath Chattopadhyay,nm0154129,Company Limited,1971,1
550,Haradhan Bannerjee Kalyan Sen,1971,Haradhan Bannerjee,nm0052329,Kalyan Sen,nm4474657,Company Limited,1971,1
551,Haradhan Bannerjee Kamu Mukherjee,5943,Haradhan Bannerjee,nm0052329,Kamu Mukherjee,nm0611536,Branches of the Tree,1990,1
552,Haradhan Bannerjee Kamu Mukherjee,5943,Haradhan Bannerjee,nm0052329,Kamu Mukherjee,nm0611536,The Golden Fortress,1974,1
553,Haradhan Bannerjee Kamu Mukherjee,5943,Haradhan Bannerjee,nm0052329,Kamu Mukherjee,nm0611536,Joi Baba Felunath: The Elephant God,1979,1
554,Haradhan Bannerjee Madhabi Mukherjee,3928,Haradhan Bannerjee,nm0052329,Madhabi Mukherjee,nm0611538,The Coward,1965,1
555,Haradhan Bannerjee Madhabi Mukherjee,3928,Haradhan Bannerjee,nm0052329,Madhabi Mukherjee,nm0611538,The Big City,1963,1
556,Haradhan Bannerjee Mamata Shankar,1990,Haradhan Bannerjee,nm0052329,Mamata Shankar,nm0788164,Branches of the Tree,1990,1
557,Haradhan Bannerjee Monu Mukherjee,1979,Haradhan Bannerjee,nm0052329,Monu Mukherjee,nm0611540,Joi Baba Felunath: The Elephant God,1979,1
558,Haradhan Bannerjee Promode Ganguly,3961,Haradhan Bannerjee,nm0052329,Promode Ganguly,nm0304365,Branches of the Tree,1990,1
559,Haradhan Bannerjee Promode Ganguly,3961,Haradhan Bannerjee,nm0052329,Promode Ganguly,nm0304365,Company Limited,1971,1
560,Haradhan Bannerjee Rajkumar Lahiri,1979,Haradhan Bannerjee,nm0052329,Rajkumar Lahiri,nm1708115,Joi Baba Felunath: The Elephant God,1979,1
561,Haradhan Bannerjee Santi Chatterjee,3939,Haradhan Bannerjee,nm0052329,Santi Chatterjee,nm0154155,The Coward,1965,1
562,Haradhan Bannerjee Santi Chatterjee,3939,Haradhan Bannerjee,nm0052329,Santi Chatterjee,nm0154155,The Golden Fortress,1974,1
563,Haradhan Bannerjee Santosh Dutta,3953,Haradhan Bannerjee,nm0052329,Santosh Dutta,nm0244904,The Golden Fortress,1974,1
564,Haradhan Bannerjee Santosh Dutta,3953,Haradhan Bannerjee,nm0052329,Santosh Dutta,nm0244904,Joi Baba Felunath: The Elephant God,1979,1
565,Haradhan Bannerjee Satya Banerjee,1979,Haradhan Bannerjee,nm0052329,Satya Banerjee,nm0051810,Joi Baba Felunath: The Elephant God,1979,1
566,Haradhan Bannerjee Shailen Ganguli,1963,Haradhan Bannerjee,nm0052329,Shailen Ganguli,nm0304352,The Big City,1963,1
567,Haradhan Bannerjee Shailen Mukherjee,3937,Haradhan Bannerjee,nm0052329,Shailen Mukherjee,nm0611561,The Golden Fortress,1974,1
568,Haradhan Bannerjee Shailen Mukherjee,3937,Haradhan Bannerjee,nm0052329,Shailen Mukherjee,nm0611561,The Big City,1963,1
569,Haradhan Bannerjee Sharmila Tagore,1971,Haradhan Bannerjee,nm0052329,Sharmila Tagore,nm0846616,Company Limited,1971,1
570,Haradhan Bannerjee Shyamal Ghoshal,1963,Haradhan Bannerjee,nm0052329,Shyamal Ghoshal,nm0315929,The Big City,1963,1
571,Haradhan Bannerjee Soven Lahiri,1990,Haradhan Bannerjee,nm0052329,Soven Lahiri,nm0481574,Branches of the Tree,1990,1
572,Haradhan Bannerjee Subrata Sensharma,1963,Haradhan Bannerjee,nm0052329,Subrata Sensharma,nm0784478,The Big City,1963,1
573,Haradhan Bannerjee Sunil Sarkar,1974,Haradhan Bannerjee,nm0052329,Sunil Sarkar,nm0765281,The Golden Fortress,1974,1
574,Haradhan Bannerjee Tapan Chatterjee,1963,Haradhan Bannerjee,nm0052329,Tapan Chatterjee,nm0154170,The Big City,1963,1
575,Haradhan Bannerjee Tarun Mitra,1990,Haradhan Bannerjee,nm0052329,Tarun Mitra,nm0593973,Branches of the Tree,1990,1
576,Haradhan Bannerjee Utpal Dutt,1979,Haradhan Bannerjee,nm0052329,Utpal Dutt,nm0244884,Joi Baba Felunath: The Elephant God,1979,1
577,Haradhan Bannerjee Uttamram Nagar,1974,Haradhan Bannerjee,nm0052329,Uttamram Nagar,nm1840054,The Golden Fortress,1974,1
578,Haridhan Mukherjee Abani Mukherjee,1969,Haridhan Mukherjee,nm0154128,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,1969,1
579,Haridhan Mukherjee Ajoy Banerjee,3949,Haridhan Mukherjee,nm0154128,Ajoy Banerjee,nm0051831,Heerak Rajar Deshe,1980,1
580,Haridhan Mukherjee Ajoy Banerjee,3949,Haridhan Mukherjee,nm0154128,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,1969,1
581,Haridhan Mukherjee Anil Chatterjee,1962,Haridhan Mukherjee,nm0154128,Anil Chatterjee,nm0154110,Kanchenjungha,1962,1
582,Haridhan Mukherjee Ashok Mitra,1969,Haridhan Mukherjee,nm0154128,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,1969,1
583,Haridhan Mukherjee Bimal Chatterjee,1980,Haridhan Mukherjee,nm0154128,Bimal Chatterjee,nm0154115,Heerak Rajar Deshe,1980,1
584,Haridhan Mukherjee Bireswar Sen,1958,Haridhan Mukherjee,nm0154128,Bireswar Sen,nm0784001,Paras-Pathar,1958,1
585,Haridhan Mukherjee Charuprakash Ghosh,1965,Haridhan Mukherjee,nm0154128,Charuprakash Ghosh,nm0315882,The Holy Man,1965,1
586,Haridhan Mukherjee Chhabi Biswas,3920,Haridhan Mukherjee,nm0154128,Chhabi Biswas,nm0084435,Paras-Pathar,1958,1
587,Haridhan Mukherjee Chhabi Biswas,3920,Haridhan Mukherjee,nm0154128,Chhabi Biswas,nm0084435,Kanchenjungha,1962,1
588,Haridhan Mukherjee Gitali Roy,1965,Haridhan Mukherjee,nm0154128,Gitali Roy,nm0747030,The Holy Man,1965,1
589,Haridhan Mukherjee Gopal Dey,3949,Haridhan Mukherjee,nm0154128,Gopal Dey,nm0223342,Heerak Rajar Deshe,1980,1
590,Haridhan Mukherjee Gopal Dey,3949,Haridhan Mukherjee,nm0154128,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,1969,1
591,Haridhan Mukherjee Govinda Chakravarti,3949,Haridhan Mukherjee,nm0154128,Govinda Chakravarti,nm0149838,Heerak Rajar Deshe,1980,1
592,Haridhan Mukherjee Govinda Chakravarti,3949,Haridhan Mukherjee,nm0154128,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,1969,1
593,Haridhan Mukherjee Haridhan Mukherjee,7872,Haridhan Mukherjee,nm0154128,Haridhan Mukherjee,nm0154128,Heerak Rajar Deshe,1980,1
594,Haridhan Mukherjee Haridhan Mukherjee,7872,Haridhan Mukherjee,nm0154128,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,1969,1
595,Haridhan Mukherjee Haridhan Mukherjee,7872,Haridhan Mukherjee,nm0154128,Haridhan Mukherjee,nm0154128,Paras-Pathar,1958,1
596,Haridhan Mukherjee Haridhan Mukherjee,7872,Haridhan Mukherjee,nm0154128,Haridhan Mukherjee,nm0154128,The Holy Man,1965,1
597,Haridhan Mukherjee Harindranath Chattopadhyay,1969,Haridhan Mukherjee,nm0154128,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,1969,1
598,Haridhan Mukherjee Kali Bannerjee,1958,Haridhan Mukherjee,nm0154128,Kali Bannerjee,nm0052332,Paras-Pathar,1958,1
599,Haridhan Mukherjee Kamu Mukherjee,1980,Haridhan Mukherjee,nm0154128,Kamu Mukherjee,nm0611536,Heerak Rajar Deshe,1980,1
600,Haridhan Mukherjee Kartik Chatterjee,3949,Haridhan Mukherjee,nm0154128,Kartik Chatterjee,nm0154135,Heerak Rajar Deshe,1980,1
601,Haridhan Mukherjee Kartik Chatterjee,3949,Haridhan Mukherjee,nm0154128,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,1969,1
602,Haridhan Mukherjee Karuna Bannerjee,1962,Haridhan Mukherjee,nm0154128,Karuna Bannerjee,nm0052334,Kanchenjungha,1962,1
603,Haridhan Mukherjee Khagen Pathak,1969,Haridhan Mukherjee,nm0154128,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,1969,1
604,Haridhan Mukherjee Mani Srimani,5892,Haridhan Mukherjee,nm0154128,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,1969,1
605,Haridhan Mukherjee Mani Srimani,5892,Haridhan Mukherjee,nm0154128,Mani Srimani,nm0820248,Paras-Pathar,1958,1
606,Haridhan Mukherjee Mani Srimani,5892,Haridhan Mukherjee,nm0154128,Mani Srimani,nm0820248,The Holy Man,1965,1
607,Haridhan Mukherjee Noni Ganguly,1980,Haridhan Mukherjee,nm0154128,Noni Ganguly,nm0304363,Heerak Rajar Deshe,1980,1
608,Haridhan Mukherjee Nripati Chatterjee,1969,Haridhan Mukherjee,nm0154128,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,1969,1
609,Haridhan Mukherjee Padmadevi,1958,Haridhan Mukherjee,nm0154128,Padmadevi,nm0222471,Paras-Pathar,1958,1
610,Haridhan Mukherjee Pahadi Sanyal,3920,Haridhan Mukherjee,nm0154128,Pahadi Sanyal,nm0764406,Paras-Pathar,1958,1
611,Haridhan Mukherjee Pahadi Sanyal,3920,Haridhan Mukherjee,nm0154128,Pahadi Sanyal,nm0764406,Kanchenjungha,1962,1
612,Haridhan Mukherjee Prasad Mukherjee,3934,Haridhan Mukherjee,nm0154128,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,1969,1
613,Haridhan Mukherjee Prasad Mukherjee,3934,Haridhan Mukherjee,nm0154128,Prasad Mukherjee,nm0611546,The Holy Man,1965,1
614,Haridhan Mukherjee Promode Ganguly,1980,Haridhan Mukherjee,nm0154128,Promode Ganguly,nm0304365,Heerak Rajar Deshe,1980,1
615,Haridhan Mukherjee Rabi Ghosh,5914,Haridhan Mukherjee,nm0154128,Rabi Ghosh,nm0315917,Heerak Rajar Deshe,1980,1
616,Haridhan Mukherjee Rabi Ghosh,5914,Haridhan Mukherjee,nm0154128,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,1969,1
617,Haridhan Mukherjee Rabi Ghosh,5914,Haridhan Mukherjee,nm0154128,Rabi Ghosh,nm0315917,The Holy Man,1965,1
618,Haridhan Mukherjee Rajkumar Lahiri,3949,Haridhan Mukherjee,nm0154128,Rajkumar Lahiri,nm1708115,Heerak Rajar Deshe,1980,1
619,Haridhan Mukherjee Rajkumar Lahiri,3949,Haridhan Mukherjee,nm0154128,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,1969,1
620,Haridhan Mukherjee Santi Chatterjee,3934,Haridhan Mukherjee,nm0154128,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,1969,1
621,Haridhan Mukherjee Santi Chatterjee,3934,Haridhan Mukherjee,nm0154128,Santi Chatterjee,nm0154155,The Holy Man,1965,1
622,Haridhan Mukherjee Santosh Dutta,3949,Haridhan Mukherjee,nm0154128,Santosh Dutta,nm0244904,Heerak Rajar Deshe,1980,1
623,Haridhan Mukherjee Santosh Dutta,3949,Haridhan Mukherjee,nm0154128,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,1969,1
624,Haridhan Mukherjee Shailen Ganguli,5914,Haridhan Mukherjee,nm0154128,Shailen Ganguli,nm0304352,Heerak Rajar Deshe,1980,1
625,Haridhan Mukherjee Shailen Ganguli,5914,Haridhan Mukherjee,nm0154128,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,1969,1
626,Haridhan Mukherjee Shailen Ganguli,5914,Haridhan Mukherjee,nm0154128,Shailen Ganguli,nm0304352,The Holy Man,1965,1
627,Haridhan Mukherjee Subrata Sensharma,1962,Haridhan Mukherjee,nm0154128,Subrata Sensharma,nm0784478,Kanchenjungha,1962,1
628,Haridhan Mukherjee Sunil Sarkar,1980,Haridhan Mukherjee,nm0154128,Sunil Sarkar,nm0765281,Heerak Rajar Deshe,1980,1
629,Haridhan Mukherjee Tapan Chatterjee,3949,Haridhan Mukherjee,nm0154128,Tapan Chatterjee,nm0154170,Heerak Rajar Deshe,1980,1
630,Haridhan Mukherjee Tapan Chatterjee,3949,Haridhan Mukherjee,nm0154128,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,1969,1
631,Haridhan Mukherjee Tarun Mitra,3949,Haridhan Mukherjee,nm0154128,Tarun Mitra,nm0593973,Heerak Rajar Deshe,1980,1
632,Haridhan Mukherjee Tarun Mitra,3949,Haridhan Mukherjee,nm0154128,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,1969,1
633,Haridhan Mukherjee Utpal Dutt,1980,Haridhan Mukherjee,nm0154128,Utpal Dutt,nm0244884,Heerak Rajar Deshe,1980,1
634,Haridhan Nag Abani Mukherjee,1962,Haridhan Nag,nm5570266,Abani Mukherjee,nm0611505,Abhijaan,1962,1
635,Haridhan Nag Ajit Banerjee,1962,Haridhan Nag,nm5570266,Ajit Banerjee,nm0051830,Abhijaan,1962,1
636,Haridhan Nag Anil Chatterjee,1961,Haridhan Nag,nm5570266,Anil Chatterjee,nm0154110,Teen Kanya,1961,1
637,Haridhan Nag Aparna Sen,1961,Haridhan Nag,nm5570266,Aparna Sen,nm0031967,Teen Kanya,1961,1
638,Haridhan Nag Bireswar Sen,1962,Haridhan Nag,nm5570266,Bireswar Sen,nm0784001,Abhijaan,1962,1
639,Haridhan Nag Charuprakash Ghosh,1962,Haridhan Nag,nm5570266,Charuprakash Ghosh,nm0315882,Abhijaan,1962,1
640,Haridhan Nag Govinda Chakravarti,1961,Haridhan Nag,nm5570266,Govinda Chakravarti,nm0149838,Teen Kanya,1961,1
641,Haridhan Nag Haridhan Nag,5878,Haridhan Nag,nm5570266,Haridhan Nag,nm5570266,Teen Kanya,1961,1
642,Haridhan Nag Haridhan Nag,5878,Haridhan Nag,nm5570266,Haridhan Nag,nm5570266,Abhijaan,1962,1
643,Haridhan Nag Haridhan Nag,5878,Haridhan Nag,nm5570266,Haridhan Nag,nm5570266,Pather Panchali,1955,1
644,Haridhan Nag Kali Bannerjee,1961,Haridhan Nag,nm5570266,Kali Bannerjee,nm0052332,Teen Kanya,1961,1
645,Haridhan Nag Khagen Pathak,1961,Haridhan Nag,nm5570266,Khagen Pathak,nm0665546,Teen Kanya,1961,1
646,Haridhan Nag Noni Ganguly,1962,Haridhan Nag,nm5570266,Noni Ganguly,nm0304363,Abhijaan,1962,1
647,Haridhan Nag Nripati Chatterjee,1961,Haridhan Nag,nm5570266,Nripati Chatterjee,nm0154142,Teen Kanya,1961,1
648,Haridhan Nag Rabi Ghosh,1962,Haridhan Nag,nm5570266,Rabi Ghosh,nm0315917,Abhijaan,1962,1
649,Haridhan Nag Santi Chatterjee,1962,Haridhan Nag,nm5570266,Santi Chatterjee,nm0154155,Abhijaan,1962,1
650,Haridhan Nag Santosh Dutta,1961,Haridhan Nag,nm5570266,Santosh Dutta,nm0244904,Teen Kanya,1961,1
651,Harindranath Chattopadhyay Abani Mukherjee,1969,Harindranath Chattopadhyay,nm0154129,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,1969,1
652,Harindranath Chattopadhyay Ajoy Banerjee,5914,Harindranath Chattopadhyay,nm0154129,Ajoy Banerjee,nm0051831,The Golden Fortress,1974,1
653,Harindranath Chattopadhyay Ajoy Banerjee,5914,Harindranath Chattopadhyay,nm0154129,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,1969,1
654,Harindranath Chattopadhyay Ajoy Banerjee,5914,Harindranath Chattopadhyay,nm0154129,Ajoy Banerjee,nm0051831,Company Limited,1971,1
655,Harindranath Chattopadhyay Ashok Mitra,1969,Harindranath Chattopadhyay,nm0154129,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,1969,1
656,Harindranath Chattopadhyay Bimal Chatterjee,1974,Harindranath Chattopadhyay,nm0154129,Bimal Chatterjee,nm0154115,The Golden Fortress,1974,1
657,Harindranath Chattopadhyay Dibyendu Chatterjee,1974,Harindranath Chattopadhyay,nm0154129,Dibyendu Chatterjee,nm4814634,The Golden Fortress,1974,1
658,Harindranath Chattopadhyay Dipankar Dey,1971,Harindranath Chattopadhyay,nm0154129,Dipankar Dey,nm0212541,Company Limited,1971,1
659,Harindranath Chattopadhyay Gopal Dey,1969,Harindranath Chattopadhyay,nm0154129,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,1969,1
660,Harindranath Chattopadhyay Govinda Chakravarti,1969,Harindranath Chattopadhyay,nm0154129,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,1969,1
661,Harindranath Chattopadhyay Haradhan Bannerjee,1974,Harindranath Chattopadhyay,nm0154129,Haradhan Bannerjee,nm0052329,The Golden Fortress,1974,1
662,Harindranath Chattopadhyay Haridhan Mukherjee,1969,Harindranath Chattopadhyay,nm0154129,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,1969,1
663,Harindranath Chattopadhyay Harindranath Chattopadhyay,5914,Harindranath Chattopadhyay,nm0154129,Harindranath Chattopadhyay,nm0154129,The Golden Fortress,1974,1
664,Harindranath Chattopadhyay Harindranath Chattopadhyay,5914,Harindranath Chattopadhyay,nm0154129,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,1969,1
665,Harindranath Chattopadhyay Harindranath Chattopadhyay,5914,Harindranath Chattopadhyay,nm0154129,Harindranath Chattopadhyay,nm0154129,Company Limited,1971,1
666,Harindranath Chattopadhyay Kalyan Sen,1971,Harindranath Chattopadhyay,nm0154129,Kalyan Sen,nm4474657,Company Limited,1971,1
667,Harindranath Chattopadhyay Kamu Mukherjee,1974,Harindranath Chattopadhyay,nm0154129,Kamu Mukherjee,nm0611536,The Golden Fortress,1974,1
668,Harindranath Chattopadhyay Kartik Chatterjee,1969,Harindranath Chattopadhyay,nm0154129,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,1969,1
669,Harindranath Chattopadhyay Khagen Pathak,1969,Harindranath Chattopadhyay,nm0154129,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,1969,1
670,Harindranath Chattopadhyay Mani Srimani,1969,Harindranath Chattopadhyay,nm0154129,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,1969,1
671,Harindranath Chattopadhyay Nripati Chatterjee,1969,Harindranath Chattopadhyay,nm0154129,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,1969,1
672,Harindranath Chattopadhyay Prasad Mukherjee,1969,Harindranath Chattopadhyay,nm0154129,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,1969,1
673,Harindranath Chattopadhyay Promode Ganguly,1971,Harindranath Chattopadhyay,nm0154129,Promode Ganguly,nm0304365,Company Limited,1971,1
674,Harindranath Chattopadhyay Rabi Ghosh,1969,Harindranath Chattopadhyay,nm0154129,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,1969,1
675,Harindranath Chattopadhyay Rajkumar Lahiri,1969,Harindranath Chattopadhyay,nm0154129,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,1969,1
676,Harindranath Chattopadhyay Santi Chatterjee,3943,Harindranath Chattopadhyay,nm0154129,Santi Chatterjee,nm0154155,The Golden Fortress,1974,1
677,Harindranath Chattopadhyay Santi Chatterjee,3943,Harindranath Chattopadhyay,nm0154129,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,1969,1
678,Harindranath Chattopadhyay Santosh Dutta,3943,Harindranath Chattopadhyay,nm0154129,Santosh Dutta,nm0244904,The Golden Fortress,1974,1
679,Harindranath Chattopadhyay Santosh Dutta,3943,Harindranath Chattopadhyay,nm0154129,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,1969,1
680,Harindranath Chattopadhyay Shailen Ganguli,1969,Harindranath Chattopadhyay,nm0154129,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,1969,1
681,Harindranath Chattopadhyay Shailen Mukherjee,1974,Harindranath Chattopadhyay,nm0154129,Shailen Mukherjee,nm0611561,The Golden Fortress,1974,1
682,Harindranath Chattopadhyay Sharmila Tagore,1971,Harindranath Chattopadhyay,nm0154129,Sharmila Tagore,nm0846616,Company Limited,1971,1
683,Harindranath Chattopadhyay Sunil Sarkar,1974,Harindranath Chattopadhyay,nm0154129,Sunil Sarkar,nm0765281,The Golden Fortress,1974,1
684,Harindranath Chattopadhyay Tapan Chatterjee,1969,Harindranath Chattopadhyay,nm0154129,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,1969,1
685,Harindranath Chattopadhyay Tarun Mitra,1969,Harindranath Chattopadhyay,nm0154129,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,1969,1
686,Harindranath Chattopadhyay Uttamram Nagar,1974,Harindranath Chattopadhyay,nm0154129,Uttamram Nagar,nm1840054,The Golden Fortress,1974,1
687,Kali Bannerjee Anil Chatterjee,1961,Kali Bannerjee,nm0052332,Anil Chatterjee,nm0154110,Teen Kanya,1961,1
688,Kali Bannerjee Aparna Sen,1961,Kali Bannerjee,nm0052332,Aparna Sen,nm0031967,Teen Kanya,1961,1
689,Kali Bannerjee Bireswar Sen,1958,Kali Bannerjee,nm0052332,Bireswar Sen,nm0784001,Paras-Pathar,1958,1
690,Kali Bannerjee Charuprakash Ghosh,1956,Kali Bannerjee,nm0052332,Charuprakash Ghosh,nm0315882,Aparajito,1956,1
691,Kali Bannerjee Chhabi Biswas,1958,Kali Bannerjee,nm0052332,Chhabi Biswas,nm0084435,Paras-Pathar,1958,1
692,Kali Bannerjee Govinda Chakravarti,1961,Kali Bannerjee,nm0052332,Govinda Chakravarti,nm0149838,Teen Kanya,1961,1
693,Kali Bannerjee Haridhan Mukherjee,1958,Kali Bannerjee,nm0052332,Haridhan Mukherjee,nm0154128,Paras-Pathar,1958,1
